user_id,date,weekday,is_weekend,avg_login_hour,earliest_login_hour,after_hours_login,failed_logins,login_count,distinct_ips,files_accessed,sensitive_files_accessed,files_downloaded,usb_events,usb_first_time,usb_data_mb,transfer_mb,external_transfer_mb,department
user001,2026-05-01,4,0,9.916666666666666,9.916666666666666,0,0,1,1,11,0,2,0,0,0.0,50.0,0.0,IT Ops
user001,2026-05-02,5,1,10.433333333333334,10.433333333333334,0,0,1,1,4,0,2,0,0,0.0,74.0,74.0,IT Ops
user001,2026-05-03,6,1,,,0,0,0,0,9,0,2,0,0,0.0,37.9,0.0,IT Ops
user001,2026-05-04,0,0,11.6,11.6,0,0,1,1,17,0,2,1,1,29.0,50.0,0.0,IT Ops
user001,2026-05-05,1,0,11.283333333333333,11.283333333333333,0,0,1,1,13,0,8,0,0,0.0,76.5,0.0,IT Ops
user001,2026-05-06,2,0,10.75,10.75,0,0,1,1,17,0,4,0,0,0.0,63.5,63.5,IT Ops
user001,2026-05-07,3,0,12.016666666666667,12.016666666666667,0,0,1,1,10,0,5,0,0,0.0,47.0,0.0,IT Ops
user001,2026-05-08,4,0,10.916666666666666,10.916666666666666,0,0,1,1,9,0,3,0,0,0.0,33.6,0.0,IT Ops
user001,2026-05-09,5,1,,,0,0,0,0,11,0,2,0,0,0.0,56.5,56.5,IT Ops
user001,2026-05-10,6,1,,,0,0,0,0,13,0,1,0,0,0.0,82.5,0.0,IT Ops
user001,2026-05-11,0,0,10.983333333333333,10.983333333333333,0,0,1,1,12,0,1,0,0,0.0,46.3,0.0,IT Ops
user001,2026-05-12,1,0,11.133333333333333,11.133333333333333,0,0,1,1,10,0,4,0,0,0.0,42.7,0.0,IT Ops
user001,2026-05-13,2,0,10.783333333333333,10.783333333333333,0,0,1,1,6,0,3,0,0,0.0,54.1,0.0,IT Ops
user001,2026-05-14,3,0,11.216666666666667,11.216666666666667,0,0,1,1,9,0,2,0,0,0.0,59.3,0.0,IT Ops
user001,2026-05-15,4,0,10.4,10.4,0,0,1,1,6,0,2,0,0,0.0,30.9,0.0,IT Ops
user001,2026-05-16,5,1,,,0,0,0,0,5,0,2,0,0,0.0,52.6,52.6,IT Ops
user001,2026-05-17,6,1,,,0,0,0,0,9,0,3,0,0,0.0,75.4,0.0,IT Ops
user001,2026-05-18,0,0,10.0,10.0,0,0,1,1,8,0,3,0,0,0.0,48.9,48.9,IT Ops
user001,2026-05-19,1,0,10.7,10.7,0,0,1,1,11,0,2,0,0,0.0,44.0,0.0,IT Ops
user001,2026-05-20,2,0,10.883333333333333,10.883333333333333,0,0,1,1,14,0,1,0,0,0.0,42.6,0.0,IT Ops
user001,2026-05-21,3,0,10.55,10.55,0,0,1,1,9,0,3,0,0,0.0,73.9,73.9,IT Ops
user001,2026-05-22,4,0,10.433333333333334,10.433333333333334,0,0,1,1,1,0,0,0,0,0.0,64.6,0.0,IT Ops
user001,2026-05-23,5,1,,,0,0,0,0,5,0,1,0,0,0.0,73.5,0.0,IT Ops
user001,2026-05-24,6,1,,,0,0,0,0,6,0,4,0,0,0.0,63.4,0.0,IT Ops
user001,2026-05-25,0,0,10.366666666666667,10.366666666666667,0,0,1,1,11,0,3,0,0,0.0,71.8,71.8,IT Ops
user001,2026-05-26,1,0,10.266666666666667,10.266666666666667,0,0,1,1,15,0,6,0,0,0.0,66.7,0.0,IT Ops
user001,2026-05-27,2,0,10.966666666666667,10.966666666666667,0,0,1,1,18,0,10,1,1,36.0,53.8,0.0,IT Ops
user001,2026-05-28,3,0,10.983333333333333,10.983333333333333,0,0,1,1,5,0,3,0,0,0.0,36.0,0.0,IT Ops
user001,2026-05-29,4,0,11.116666666666667,11.116666666666667,0,0,1,1,9,0,4,0,0,0.0,52.1,0.0,IT Ops
user001,2026-05-30,5,1,,,0,0,0,0,1,0,0,0,0,0.0,63.5,0.0,IT Ops
user001,2026-05-31,6,1,,,0,0,0,0,10,0,4,0,0,0.0,55.3,55.3,IT Ops
user001,2026-06-01,0,0,10.016666666666667,10.016666666666667,0,0,1,1,1,0,1,0,0,0.0,48.6,0.0,IT Ops
user001,2026-06-02,1,0,11.783333333333333,11.783333333333333,0,0,1,1,6,0,5,0,0,0.0,66.7,0.0,IT Ops
user001,2026-06-03,2,0,10.916666666666666,10.916666666666666,0,0,1,1,10,0,0,0,0,0.0,70.6,0.0,IT Ops
user001,2026-06-04,3,0,11.183333333333334,11.183333333333334,0,0,1,1,4,0,1,0,0,0.0,70.9,70.9,IT Ops
user001,2026-06-05,4,0,10.283333333333333,10.283333333333333,0,0,1,1,8,0,4,0,0,0.0,51.0,0.0,IT Ops
user001,2026-06-06,5,1,,,0,0,0,0,11,0,3,0,0,0.0,86.5,86.5,IT Ops
user001,2026-06-07,6,1,,,0,0,0,0,9,0,1,0,0,0.0,61.7,61.7,IT Ops
user001,2026-06-08,0,0,11.9,11.9,0,0,1,1,12,0,5,0,0,0.0,52.0,0.0,IT Ops
user001,2026-06-09,1,0,10.45,10.45,0,0,1,1,10,0,3,0,0,0.0,38.1,0.0,IT Ops
user001,2026-06-10,2,0,11.15,11.15,0,0,1,1,10,0,4,0,0,0.0,81.2,0.0,IT Ops
user001,2026-06-11,3,0,10.95,10.95,0,0,1,1,6,0,3,0,0,0.0,43.6,0.0,IT Ops
user001,2026-06-12,4,0,10.1,10.1,0,0,1,1,8,0,4,0,0,0.0,44.3,0.0,IT Ops
user001,2026-06-13,5,1,,,0,0,0,0,11,0,5,0,0,0.0,76.0,0.0,IT Ops
user001,2026-06-14,6,1,,,0,0,0,0,13,0,3,0,0,0.0,74.9,0.0,IT Ops
user001,2026-06-15,0,0,10.266666666666667,10.266666666666667,0,0,1,1,13,0,3,0,0,0.0,77.3,0.0,IT Ops
user001,2026-06-16,1,0,10.9,10.9,0,0,1,1,8,0,2,0,0,0.0,70.8,0.0,IT Ops
user001,2026-06-17,2,0,10.766666666666667,10.766666666666667,0,0,1,1,6,0,1,0,0,0.0,81.3,0.0,IT Ops
user001,2026-06-18,3,0,10.266666666666667,10.266666666666667,0,0,1,1,10,0,3,0,0,0.0,55.6,0.0,IT Ops
user001,2026-06-19,4,0,10.466666666666667,10.466666666666667,0,0,1,1,4,0,0,0,0,0.0,41.2,0.0,IT Ops
